-,-,-,-,i,s,o,t,h,e,r,m, ,p,a,r,a,m,e,t,e,r,s,-,-,-,-
start time: ,19317.060583917395
end time: ,19317.06062826454
number of smooting values: ,2
total sample steps: ,20
stepper delay: ,0.0029878048780487805
area_change_expected: ,1.225e+16
molecules deposited: ,1.23e+16
-,-,-,-,i,s,o,t,h,e,r,m, ,d,a,t,a,-,-,-,-
area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
126.86077235772358,98.6866799362663
126.8109756097561,98.67242907869075
126.76117886178862,98.66530364990297
126.71138211382114,98.62713170996844
126.66158536585365,98.63654745515228
126.61178861788618,98.68311722187241
126.5619918699187,98.73732137657946
126.51219512195122,98.79152553128651
126.46239837398375,98.76251485693625
126.41260162601625,98.73223178458818
126.36280487804878,98.69558672225104
126.3130081300813,98.64952591473002
126.26321138211382,98.59888447441688
126.21341463414635,98.57394547365963
126.16361788617886,98.53933624811899
126.11382113821138,98.4881858486067
126.0640243902439,98.4281286631097
126.01422764227642,98.41438676473327
125.96443089430895,98.37646930439828
125.91463414634147,98.35661989563232
