----isotherm parameters----,
start time: ,2022-11-30 13:51:41.409098+00:00
end time: ,2022-11-30 13:54:52.980683+00:00
number of smooting values: ,1
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.40E+18
molecules deposited: ,1.23E+16
----isotherm data----,
area_per_molecule (Ang^2/molecule),surface pressure (mN/m)
128.2764228,0.454833473
128.2195122,0.444569313
128.1626016,0.444569313
128.1056911,0.430313534
128.0487805,0.430313534
127.9918699,0.425751685
127.9349593,0.420619604
127.8780488,0.426321916
127.8211382,0.429173071
127.7642276,0.436586076
127.7073171,0.436586076
127.6504065,0.416627986
127.5934959,0.406363825
127.5365854,0.406363825
127.4796748,0.375571343
127.4227642,0.375571343
127.3658537,0.375571343
127.3089431,0.369298801
127.2520325,0.369298801
127.195122,0.38412481
127.1382114,0.405223363
127.0813008,0.405223363
127.0243902,0.392678278
126.9674797,0.380133192
126.9105691,0.360175102
126.8536585,0.339646781
126.796748,0.333944469
126.7398374,0.320829153
126.6829268,0.316267303
126.6260163,0.316267303
126.5691057,0.31968869
126.5121951,0.327671927
126.4552846,0.325961233
126.398374,0.325961233
126.3414634,0.330523082
126.2845528,0.330523082
126.2276423,0.322539846
126.1707317,0.322539846
126.1138211,0.341357474
126.0569106,0.355043022
126,0.355043022
125.9430894,0.340787243
125.8861789,0.340787243
125.8292683,0.348770479
125.7723577,0.361885796
125.7154472,0.361885796
125.6585366,0.378422499
125.601626,0.38412481
125.5447154,0.384695042
125.4878049,0.385835504
125.4308943,0.385265273
125.3739837,0.385835504
125.3170732,0.400661514
125.2601626,0.402942438
125.203252,0.400661514
125.1463415,0.391537815
125.0894309,0.391537815
125.0325203,0.409214981
124.9756098,0.413206599
124.9186992,0.410925675
124.8617886,0.406363825
124.804878,0.406363825
124.7479675,0.412066137
124.6910569,0.412066137
124.6341463,0.385835504
124.5772358,0.385835504
124.5203252,0.40351267
124.4634146,0.40351267
124.4065041,0.380133192
124.3495935,0.35903464
124.2926829,0.35903464
124.2357724,0.394959202
124.1788618,0.394959202
124.1219512,0.362456027
124.0650407,0.346489555
124.0081301,0.346489555
123.9512195,0.355043022
123.8943089,0.35903464
123.8373984,0.361885796
123.7804878,0.361885796
123.7235772,0.337365856
123.6666667,0.337365856
123.6097561,0.352762097
123.5528455,0.370439263
123.495935,0.369298801
123.4390244,0.369298801
123.3821138,0.361885796
123.3252033,0.361885796
123.2682927,0.352191866
123.2113821,0.352191866
123.1544715,0.355043022
123.097561,0.357323946
123.0406504,0.37386065
122.9837398,0.37386065
122.9268293,0.37386065
122.8699187,0.377852268
122.8130081,0.377852268
122.7560976,0.371009494
122.699187,0.371009494
122.6422764,0.35903464
122.5853659,0.35903464
122.5284553,0.39381874
122.4715447,0.39381874
122.4146341,0.345919323
122.3577236,0.292887826
122.300813,0.292887826
122.2439024,0.292887826
122.1869919,0.317977997
122.1300813,0.317977997
122.0731707,0.292887826
122.0162602,0.313416148
121.9593496,0.313416148
121.902439,0.279202279
121.8455285,0.279202279
121.7886179,0.291177133
121.7317073,0.291177133
121.6747967,0.283193897
121.6178862,0.283193897
121.5609756,0.282623666
121.504065,0.254112108
121.4471545,0.248409796
121.3902439,0.225030319
121.3333333,0.225030319
121.2764228,0.204501998
121.2195122,0.188535526
121.1626016,0.18568437
121.1056911,0.18568437
121.0487805,0.160023968
120.9918699,0.160023968
120.9349593,0.162875124
120.8780488,0.162875124
120.8211382,0.146908652
120.7642276,0.138925415
120.7073171,0.133223104
120.6504065,0.133223104
120.5934959,0.079621376
120.5365854,0.089315305
120.4796748,0.089315305
120.4227642,0.051680049
120.3658537,0.041415889
120.3089431,0.037994502
120.2520325,0.037994502
120.195122,0.07163814
120.1382114,0.07163814
120.0813008,0.041415889
120.0243902,0.011193638
119.9674797,0.011193638
119.9105691,0.011193638
119.8536585,0.004350864
119.796748,-0.015036995
119.7398374,-0.017888151
119.6829268,-0.049821096
119.6260163,-0.059515025
119.5691057,-0.10171213
119.5121951,-0.129083226
119.4552846,-0.129653457
119.398374,-0.172420793
119.3414634,-0.194089577
119.2845528,-0.199221657
119.2276423,-0.199221657
119.1707317,-0.211196512
119.1138211,-0.239708069
119.0569106,-0.280194481
119,-0.280194481
118.9430894,-0.274492169
118.8861789,-0.274492169
118.8292683,-0.295020491
118.7723577,-0.297301415
118.7154472,-0.312697656
118.6585366,-0.326953435
118.601626,-0.338358058
118.5447154,-0.340068752
118.4878049,-0.340068752
118.4308943,-0.336647365
118.3739837,-0.336647365
118.3170732,-0.342349676
118.2601626,-0.342349676
118.203252,-0.331515284
118.1463415,-0.328664129
118.0894309,-0.326383204
118.0325203,-0.321251124
117.9756098,-0.321251124
117.9186992,-0.320110661
117.8617886,-0.313267888
117.804878,-0.312127425
117.7479675,-0.312127425
117.6910569,-0.330945053
117.6341463,-0.372571927
117.5772358,-0.409636952
117.5203252,-0.409636952
117.4634146,-0.407356028
117.4065041,-0.407356028
117.3495935,-0.415339264
117.2926829,-0.425603424
117.2357724,-0.433016429
117.1788618,-0.470651685
117.1219512,-0.470651685
117.0650407,-0.470651685
117.0081301,-0.465519605
116.9512195,-0.472362379
116.8943089,-0.473502841
116.8373984,-0.473502841
116.7804878,-0.477494459
116.7235772,-0.477494459
116.6666667,-0.467230298
116.6097561,-0.467230298
116.5528455,-0.47293261
116.495935,-0.47293261
116.4390244,-0.469511223
116.3821138,-0.431305736
116.3252033,-0.429024811
116.2682927,-0.41362857
116.2113821,-0.396521636
116.1544715,-0.396521636
116.097561,-0.409636952
116.0406504,-0.411347646
115.9837398,-0.411347646
115.9268293,-0.391389555
115.8699187,-0.391389555
115.8130081,-0.38397655
115.7560976,-0.38397655
115.699187,-0.365158922
115.6422764,-0.365158922
115.5853659,-0.365158922
115.5284553,-0.356035224
115.4715447,-0.34406037
115.4146341,-0.313838119
115.3577236,-0.28988841
115.300813,-0.28988841
115.2439024,-0.286467024
115.1869919,-0.261947084
115.1300813,-0.239137838
115.0731707,-0.213477436
115.0162602,-0.201502582
114.9593496,-0.201502582
114.902439,-0.141628311
114.8455285,-0.100001437
114.7886179,-0.100001437
114.7317073,-0.084605196
114.6747967,-0.084605196
114.6178862,-0.04696994
114.5609756,-0.042978322
114.504065,-0.029863005
114.4471545,-0.018458382
114.3902439,-0.018458382
114.3333333,-0.026441618
114.2764228,-0.026441618
114.2195122,-0.011615609
114.1626016,0.011193638
114.1056911,0.01746618
114.0487805,0.027730341
113.9918699,0.027730341
113.9349593,0.027730341
113.8780488,0.052820512
113.8211382,0.055671667
113.7642276,0.055671667
113.7073171,0.035713577
113.6504065,0.034002884
113.5934959,0.03229219
113.5365854,0.03229219
113.4796748,0.03229219
113.4227642,0.03229219
113.3658537,0.036283808
113.3089431,0.037994502
113.2520325,0.036283808
113.195122,0.037994502
113.1382114,0.040275426
113.0813008,0.021457798
113.0243902,0.021457798
112.9674797,0.034573115
112.9105691,0.034573115
112.8536585,0.014615024
112.796748,0.007772251
112.7398374,0.006061557
112.6829268,0.007772251
112.6260163,0.006061557
112.5691057,-0.005343066
112.5121951,-0.005343066
112.4552846,0.001499708
112.398374,-0.007053759
112.3414634,-0.041267628
112.2845528,-0.044689015
112.2276423,-0.066357799
112.1707317,-0.069779186
112.1138211,-0.069779186
112.0569106,-0.069779186
112,-0.081183809
111.9430894,-0.089167045
111.8861789,-0.089167045
111.8292683,-0.078902884
111.7723577,-0.071489879
111.7154472,-0.078902884
