----isotherm parameters----
start time: ,2022-11-21 12:55:10.710030+00:00
end time: ,2022-11-21 13:01:33.780375+00:00
number of smooting values: ,2
total sample steps: ,2000
stepper delay: ,0.001
area_change_expected: ,1.4e+18
molecules deposited: ,1.23e+16
----isotherm data----
barrier_pos,area_per_mol,press_val,surface_pressure,surface_tension,sdt
1,128.27642276422765,-0.2668324401473537,-0.2535920900806181,73.00359209008062,19317.5383206194
2,128.21951219512195,-0.2517337953344096,-0.24987550058820107,72.9998755005882,19317.53832283876
3,128.16260162601625,-0.2473203453121644,-0.2447651900361277,72.99476519003613,19317.538325063822
4,128.10569105691056,-0.22920197153663147,-0.21921363727576074,72.96921363727576,19317.538327265636
5,128.0487804878049,-0.1850674713141795,-0.17833115285917367,72.92833115285917,19317.5383294819
6,127.99186991869918,-0.17531142389658483,-0.17229169493399601,72.92229169493399,19317.538331704316
7,127.9349593495935,-0.15138587903915032,-0.1472047158601812,72.89720471586018,19317.538333928034
8,127.8780487804878,-0.1472047158601812,-0.1472047158601812,72.89720471586018,19317.53833612972
9,127.82113821138212,-0.14162983162155568,-0.14070068424845142,72.89070068424846,19317.53833835502
10,127.76422764227642,-0.1446495605841445,-0.14859843691983757,72.89859843691984,19317.538340564894
11,127.70731707317073,-0.1346612263232738,-0.12072401572671,72.87072401572671,19317.538342801006
12,127.65040650406505,-0.1351258000098259,-0.14952758429294183,72.89952758429294,19317.538345002456
13,127.59349593495935,-0.1736854159936524,-0.1899454950229768,72.93994549502298,19317.538347226622
14,127.53658536585365,-0.22757596363369903,-0.22757596363369903,72.9775759636337,19317.538349439015
15,127.47967479674797,-0.245926624252508,-0.24941092690164895,72.99941092690165,19317.538351662235
16,127.42276422764228,-0.20922530301489006,-0.16903967912813114,72.91903967912813,19317.538353861713
17,127.36585365853658,0.08345611951294944,0.1937923700690794,72.55620762993092,19317.538356086505
18,127.3089430894309,0.7389695912379994,0.7754386256323413,71.97456137436765,19317.538358300844
19,127.2520325203252,0.7865883941095925,0.7865883941095925,71.96341160589041,19317.538360523715
20,127.1951219512195,0.6439642723380897,0.6439642723380897,72.1060357276619,19317.538362721654
21,127.13821138211382,0.6205033011672073,0.5970423299963249,72.15295767000367,19317.538364961896
22,127.08130081300813,0.28740396790933287,0.28438423894674403,72.46561576105326,19317.53836717728
23,127.02439024390245,0.13061034869799026,0.12968120132488603,72.62031879867511,19317.538369398415
24,126.96747967479675,-0.3876215986509065,-0.45150048055182385,73.20150048055183,19317.53837162081
25,126.91056910569105,-0.5485963810412182,-0.5871559970250446,73.33715599702505,19317.53837382634
26,126.85365853658537,-0.7311738398562038,-0.7808832243172813,73.53088322431728,19317.538376052096
27,126.79674796747967,-0.7304769793263757,-0.6800707343354699,73.43007073433547,19317.53837825851
28,126.73983739837398,-0.4942412597146194,-0.43431125414939514,73.18431125414939,19317.538380483496
29,126.6829268292683,-0.32095527463067636,-0.27821449546788074,73.02821449546788,19317.538382686227
30,126.6260162601626,-0.13466122632327376,-0.08913300504116542,72.83913300504116,19317.538384911055
31,126.5691056910569,-0.20016611612712357,-0.3390736484062093,73.08907364840621,19317.53838713567
32,126.51219512195122,-0.9118930039249808,-1.0837852679492677,73.83378526794927,19317.53838935825
33,126.45528455284553,-1.3416236639856975,-1.3866873115812537,74.13668731158126,19317.53839156095
34,126.39837398373983,-1.3557931614255374,-1.3248990112698211,74.07489901126982,19317.538393786817
35,126.34146341463415,-1.2382560187278493,-1.2041098527662681,73.95410985276627,19317.53839599772
36,126.28455284552845,-1.0812301126732309,-1.0573045678157964,73.80730456781579,19317.53839821817
37,126.22764227642277,-1.0619503046813177,-1.0679897626064954,73.8179897626065,19317.538400420868
38,126.17073170731707,-1.1434829866712157,-1.1683376789017546,73.91833767890175,19317.538402647027
39,126.11382113821138,-1.2338425687056043,-1.251496368794585,74.00149636879459,19317.538404858773
